Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Unit_price,Avg_price,price_range,unique_prices
05/01/2016,3859,553,0H2,CZUZX,1.0,6.35,6.35,5.592352941176471,6.535,13
05/01/2016,6291,564,0H2,CZUZX,1.0,6.35,6.35,5.592352941176471,6.535,13
05/01/2016,5016,572,R6E,DUV2Y,1.0,7.81,7.81,4.740833333333334,4.070000000000001,18
05/01/2016,7999,573,0H2,CZUZX,1.0,6.35,6.35,5.592352941176471,6.535,13
06/01/2016,3336,580,2ML,3483Q,1.0,7.29,7.29,8.7425,7.41,8
06/01/2016,8491,605,0H2,CZUZX,1.0,6.35,6.35,6.650000000000001,6.535,13
06/01/2016,8491,605,C8Z,8KNYA,1.0,22.18,22.18,16.91333333333333,4.814999999999998,7
06/01/2016,3648,616,29A,IFUHU,1.0,11.19,11.19,7.154999999999999,7.156666666666667,24
06/01/2016,9005,684,C8Z,8KNYA,1.0,22.18,22.18,16.91333333333333,4.814999999999998,7
07/01/2016,5970,689,FEW,F79YP,1.0,16.91,16.91,11.695,4.029999999999999,8
07/01/2016,9332,697,29A,PO1N6,1.0,7.44,7.44,6.7318181818181815,6.64,18
07/01/2016,4703,698,Q4N,11H2S,1.0,19.0,19.0,7.449999999999999,12.57,18
07/01/2016,6675,701,Q4N,LKDTY,1.0,8.69,8.69,7.449999999999999,4.93,10
07/01/2016,153,713,C8Z,ERTYE,1.0,16.12,16.12,9.216666666666667,10.516666666666666,23
07/01/2016,1568,757,XG4,JSLMY,0.1,4.05,40.49999999999999,8.290000000000001,33.739999999999995,7
07/01/2016,2445,769,29A,0PW5H,1.0,11.19,11.19,6.7318181818181815,6.870000000000001,16
07/01/2016,6125,779,C8Z,520UE,1.0,9.06,9.06,9.216666666666667,5.463333333333335,17
07/01/2016,6730,786,0H2,CZUZX,1.0,6.35,6.35,6.8765,6.535,13
07/01/2016,2579,789,R6E,KS95Q,3.0,16.0,5.333333333333333,3.9088541666666665,5.366666666666667,26
07/01/2016,2579,789,BR0,ULY8T,1.0,22.38,22.38,21.4575,11.19,8
07/01/2016,6172,828,0H2,CZUZX,1.0,6.35,6.35,6.8765,6.535,13
07/01/2016,1710,844,BR0,XEP2E,1.0,21.16,21.16,21.4575,5.919999999999998,5
07/01/2016,7223,846,0H2,CZUZX,1.0,6.35,6.35,6.8765,6.535,13
07/01/2016,7223,846,1L6,PQ5EZ,1.0,9.93,9.93,9.93,6.265000000000001,15
07/01/2016,1245,857,29A,IFUHU,1.0,11.19,11.19,6.7318181818181815,7.156666666666667,24
07/01/2016,5247,865,R6E,DUV2Y,1.0,7.81,7.81,3.9088541666666665,4.070000000000001,18
08/01/2016,5279,879,29A,0PW5H,3.0,22.38,7.46,8.360833333333334,6.870000000000001,16
08/01/2016,8409,886,LPF,BOH1U,1.0,26.09,26.09,16.082738095238096,4.399999999999999,5
08/01/2016,8409,886,01F,QMSAV,3.0,195.34,65.11333333333333,32.57333333333333,5.829999999999998,9
08/01/2016,4243,896,29A,IFUHU,2.0,22.38,11.19,8.360833333333334,7.156666666666667,24
08/01/2016,5457,904,06Z,C07LW,1.0,33.51,33.51,22.345,13.889999999999997,6
08/01/2016,8219,921,29A,PO1N6,1.0,7.44,7.44,8.360833333333334,6.64,18
08/01/2016,7245,968,Q4N,967JZ,1.0,10.56,10.56,6.678416666666668,6.89,20
08/01/2016,6377,981,EKM,ML051,1.0,32.05,32.05,32.05,7.930000000000003,10
08/01/2016,685,982,2O0,UCK6F,2.0,11.18,5.59,12.86,6.789999999999999,13
08/01/2016,1350,986,29A,0PW5H,1.0,11.19,11.19,8.360833333333334,6.870000000000001,16
08/01/2016,7699,997,QCG,DJ7YG,1.0,12.18,12.18,12.944444444444446,4.48,5
08/01/2016,5266,998,Q4N,967JZ,1.0,10.56,10.56,6.678416666666668,6.89,20
08/01/2016,5253,1002,29A,IFUHU,1.0,11.19,11.19,8.360833333333334,7.156666666666667,24
08/01/2016,8163,1013,0H2,CZUZX,1.0,6.35,6.35,7.039130434782607,6.535,13
08/01/2016,6236,1028,29A,IFUHU,1.0,11.19,11.19,8.360833333333334,7.156666666666667,24
08/01/2016,4545,1029,0H2,CZUZX,1.0,6.35,6.35,7.039130434782607,6.535,13
08/01/2016,1456,1038,Q4N,EGB8E,1.0,10.5,10.5,6.678416666666668,5.01,11
08/01/2016,2650,1039,QV7,FZM7U,1.0,8.62,8.62,4.989999999999999,6.665,72
08/01/2016,8058,1040,QLB,CU1VE,1.0,8.05,8.05,7.39,5.77,5
08/01/2016,5071,1062,29A,IFUHU,1.0,11.19,11.19,8.360833333333334,7.156666666666667,24
08/01/2016,3881,1066,C8Z,520UE,1.0,9.06,9.06,9.045,5.463333333333335,17
09/01/2016,4909,1100,FEW,KZ80B,1.0,9.38,9.38,9.732500000000002,4.700000000000001,6
